"Id";"DTime";"AHorizontal";"AVertical";"Frequency";"Amplitude";"Variance";"Snr"
72;"2024-02-07 11:34:42";0;0;1200;-37.89;0.0135261;154.268
73;"2024-02-07 11:34:42";0;0;1200;-37.8796;0.0124442;149.765
74;"2024-02-07 11:34:42";0;0;1200;-37.8748;0.0166007;154.438
75;"2024-02-07 11:34:42";0;0;1200;-37.8738;0.0237036;153.186
76;"2024-02-07 11:34:42";0;0;1200;-37.8817;0.0291867;167.893
77;"2024-02-07 11:34:42";0;0;1200;-37.884;0.0283676;183.882
78;"2024-02-07 11:34:42";0;0;1200;-37.8912;0.0219673;167.318
79;"2024-02-07 11:34:48";0;0;1300;-40.7356;0.0147755;303.718
80;"2024-02-07 11:34:48";0;0;1300;-40.7317;0.0207398;296.863
81;"2024-02-07 11:34:48";0;0;1300;-40.7406;0.0165341;332.602
82;"2024-02-07 11:34:48";0;0;1300;-40.7253;0.0213544;320.287
83;"2024-02-07 11:34:48";0;0;1300;-40.72;0.0168348;288.82
84;"2024-02-07 11:34:48";0;0;1300;-40.7136;0.0173223;288.419
85;"2024-02-07 11:34:48";0;0;1300;-40.7009;0.0144141;279.221
86;"2024-02-07 11:34:48";0;0;1300;-40.6896;0.0114966;273.209
87;"2024-02-07 11:34:48";0;0;1300;-40.6767;0.012018;304.107
88;"2024-02-07 11:34:48";0;0;1300;-40.6737;0.0147864;260.844
89;"2024-02-07 11:34:48";0;0;1300;-40.6823;0.0240999;294.06
90;"2024-02-07 11:34:48";0;0;1300;-40.6977;0.0276372;322.844
91;"2024-02-07 11:34:48";0;0;1300;-40.6962;0.027268;312.909
92;"2024-02-07 11:34:55";0;0;1400;-45.3455;0.222488;3.38534
93;"2024-02-07 11:34:55";0;0;1400;-44.5864;0.197586;3.22728
94;"2024-02-07 11:34:55";0;0;1400;-44.1996;0.232098;3.20317
95;"2024-02-07 11:34:55";0;0;1400;-43.9485;0.236566;3.09955
96;"2024-02-07 11:34:55";0;0;1400;-43.7699;0.202488;3.36644
97;"2024-02-07 11:34:55";0;0;1400;-43.479;0.202124;3.45946
98;"2024-02-07 11:34:55";0;0;1400;-43.3967;0.171647;3.62099
99;"2024-02-07 11:34:55";0;0;1400;-43.6011;0.139685;3.94361
100;"2024-02-07 11:34:55";0;0;1400;-43.6622;0.141351;4.03837
101;"2024-02-07 11:34:55";0;0;1400;-43.6928;0.1437;4.0036
102;"2024-02-07 11:34:55";0;0;1400;-43.8322;0.158228;3.95281
103;"2024-02-07 11:34:55";0;0;1400;-44.4511;0.187712;4.13769
104;"2024-02-07 11:34:55";0;0;1400;-44.9375;0.182797;3.88369
105;"2024-02-07 11:35:01";0;0;1500;-45.9724;0.0221413;199.748
106;"2024-02-07 11:35:01";0;0;1500;-45.9635;0.0256505;205.359
107;"2024-02-07 11:35:01";0;0;1500;-45.9707;0.0213188;229.697
108;"2024-02-07 11:35:01";0;0;1500;-45.9717;0.02424;230.286
109;"2024-02-07 11:35:01";0;0;1500;-45.9579;0.0211708;261.313
110;"2024-02-07 11:35:01";0;0;1500;-45.9488;0.0185576;256.0
111;"2024-02-07 11:35:01";0;0;1500;-45.9357;0.0201084;239.852
112;"2024-02-07 11:35:01";0;0;1500;-45.9376;0.0196772;238.396
113;"2024-02-07 11:35:01";0;0;1500;-45.9343;0.0288096;253.301
114;"2024-02-07 11:35:01";0;0;1500;-45.9444;0.0272564;270.274
115;"2024-02-07 11:35:01";0;0;1500;-45.9496;0.0268937;267.588
116;"2024-02-07 11:35:01";0;0;1500;-45.9615;0.0225895;242.523
117;"2024-02-07 11:35:01";0;0;1500;-45.9646;0.0202229;256.943
118;"2024-02-07 11:35:07";0;0;1600;-50.4737;0.0263846;130.802
119;"2024-02-07 11:35:07";0;0;1600;-50.4643;0.0262103;134.621
120;"2024-02-07 11:35:07";0;0;1600;-50.4673;0.0182028;138.35
121;"2024-02-07 11:35:07";0;0;1600;-50.4798;0.0242951;138.786
122;"2024-02-07 11:35:07";0;0;1600;-50.4773;0.0222269;149.17
123;"2024-02-07 11:35:07";0;0;1600;-50.4827;0.0237045;153.887
124;"2024-02-07 11:35:07";0;0;1600;-50.4913;0.0246872;158.11
125;"2024-02-07 11:35:07";0;0;1600;-50.496;0.0210309;162.769
126;"2024-02-07 11:35:07";0;0;1600;-50.4935;0.0266209;177.827
127;"2024-02-07 11:35:07";0;0;1600;-50.4996;0.0212905;193.519
128;"2024-02-07 11:35:07";0;0;1600;-50.5;0.0272704;176.795
129;"2024-02-07 11:35:07";0;0;1600;-50.5045;0.0251609;174.033
130;"2024-02-07 11:35:07";0;0;1600;-50.5109;0.0351583;170.964
131;"2024-02-07 11:35:13";0;0;1700;-49.4178;0.0295514;165.959
132;"2024-02-07 11:35:13";0;0;1700;-49.4153;0.0202638;147.516
133;"2024-02-07 11:35:13";0;0;1700;-49.4167;0.0170841;145.896
134;"2024-02-07 11:35:13";0;0;1700;-49.4145;0.0137813;141.958
